Date,Consumption,Wind,Solar,Wind+Solar
2006-01-01,1069.1840000000002,,,
2006-01-02,1380.5210000000002,,,
2006-01-03,1442.5330000000001,,,
2006-01-04,1457.2169999999999,,,
2006-01-05,1477.131,,,
2006-01-06,1403.4270000000001,,,
2006-01-07,1300.2870000000003,,,
2006-01-08,1207.9849999999997,,,
2006-01-09,1529.3229999999996,,,
2006-01-10,1576.911,,,
2006-01-11,1577.1759999999997,,,
2006-01-12,1553.28,,,
2006-01-13,1545.0019999999997,,,
2006-01-14,1359.945,,,
2006-01-15,1265.475,,,
2006-01-16,1563.738,,,
2006-01-17,1598.3029999999999,,,
2006-01-18,1572.9840000000004,,,
2006-01-19,1558.29,,,
2006-01-20,1540.6039999999998,,,
2006-01-21,1348.188,,,
2006-01-22,1248.111,,,
2006-01-23,1569.691,,,
2006-01-24,1603.2520000000006,,,
2006-01-25,1613.3119999999997,,,
2006-01-26,1601.6729999999995,,,
2006-01-27,1586.0649999999998,,,
2006-01-28,1373.0300000000002,,,
2006-01-29,1252.2149999999997,,,
2006-01-30,1554.7219999999998,,,
2006-01-31,1575.1290000000004,,,
2006-02-01,1582.1340000000002,,,
2006-02-02,1595.7169999999996,,,
2006-02-03,1577.786,,,
2006-02-04,1366.3220000000001,,,
2006-02-05,1258.013,,,
2006-02-06,1557.5250000000003,,,
2006-02-07,1606.6669999999997,,,
2006-02-08,1590.8960000000002,,,
2006-02-09,1599.129,,,
2006-02-10,1554.631,,,
2006-02-11,1346.1040000000003,,,
2006-02-12,1232.568,,,
2006-02-13,1521.4560000000001,,,
2006-02-14,1551.3730000000003,,,
2006-02-15,1562.656,,,
2006-02-16,1523.7190000000005,,,
2006-02-17,1495.913,,,
2006-02-18,1297.3850000000002,,,
2006-02-19,1173.0500000000004,,,
2006-02-20,1501.2459999999999,,,
2006-02-21,1544.112,,,
2006-02-22,1543.1070000000002,,,
2006-02-23,1523.4910000000002,,,
2006-02-24,1507.2350000000004,,,
2006-02-25,1309.603,,,
2006-02-26,1204.7659999999998,,,
2006-02-27,1444.8990000000001,,,
2006-02-28,1507.4899999999998,,,
2006-03-01,1531.1729999999998,,,
2006-03-02,1539.9510000000002,,,
2006-03-03,1510.8839999999998,,,
2006-03-04,1323.303,,,
2006-03-05,1220.395,,,
2006-03-06,1502.1910000000003,,,
2006-03-07,1514.0119999999997,,,
2006-03-08,1545.834,,,
2006-03-09,1498.4439999999997,,,
2006-03-10,1475.327,,,
2006-03-11,1320.3680000000002,,,
2006-03-12,1218.4070000000002,,,
